5A8	Aleknagik / New Airport	US
CYCL	Charlo Airport	CA
CYCN	Cochrane Airport	CA
CYCO	Kugluktuk Airport	CA
CYCP	Blue River Airport	CA
CYCQ	Chetwynd Airport	CA
CYCR	Cross Lake (Charlie Sinclair Memorial) Airport	CA
CYCS	Chesterfield Inlet Airport	CA
CYCY	Clyde River Airport	CA
CYDA	Dawson City Airport	CA
CYDB	Burwash Airport	CA
CYDC	Princeton Airport	CA
CYDF	Deer Lake Airport	CA
CYDM	Ross River Airport	CA
CYDN	Dauphin Barker Airport	CA
CYDO	Dolbeau St Felicien Airport	CA
CYDP	Nain Airport	CA
CYDQ	Dawson Creek Airport	CA
CYEE	Huronia Airport	CA
CYEG	Edmonton International Airport	CA
CYEK	Arviat Airport	CA
CYEL	Elliot Lake Municipal Airport	CA
CYEM	Manitoulin East Municipal Airport	CA
CYEN	Estevan Airport	CA
CYER	Fort Severn Airport	CA
CYET	Edson Airport	CA
CYEV	Inuvik Mike Zubko Airport	CA
CYEY	Amos/Magny Airport	CA
CYFA	Fort Albany Airport	CA
CYFB	Iqaluit Airport	CA
CYFC	Fredericton Airport	CA
CYFE	Forestville Airport	CA
CYFH	Fort Hope Airport	CA
CYFJ	Mont-Tremblant International Airport	CA
CYFO	Flin Flon Airport	CA
CYFR	Fort Resolution Airport	CA
CYFS	Fort Simpson Airport	CA
CYFT	Makkovik Airport	CA
CYGB	Texada Gillies Bay Airport	CA
CYGD	Goderich Airport	CA
CYGE	Golden Airport	CA
CYGH	Fort Good Hope Airport	CA
CYGK	Kingston Norman Rogers Airport	CA
CYGL	La Grande Rivière Airport	CA
CYGM	Gimli Industrial Park Airport	CA
CYGO	Gods Lake Narrows Airport	CA
CYGP	Gaspé (Michel-Pouliot) Airport	CA
CYGQ	Geraldton Greenstone Regional Airport	CA
CYGR	Îles-de-la-Madeleine Airport	CA
CYGT	Igloolik Airport	CA
CYGV	Havre-Saint-Pierre Airport	CA
CYGW	Kuujjuarapik Airport	CA
CYGX	Gillam Airport	CA
CYGZ	Grise Fiord Airport	CA
CYHA	Quaqtaq Airport	CA
CYHD	Dryden Regional Airport	CA
CYHE	Hope Airport / FVRD Regional Airpark	CA
CYHF	Hearst René Fontaine Municipal Airport	CA
CYHH	Nemiscau Airport	CA
CYHI	Ulukhaktok Holman Airport	CA
CYHK	Gjoa Haven Airport	CA
CYHM	John C. Munro Hamilton International Airport	CA
CYHN	Hornepayne Municipal Airport	CA
CYHO	Hopedale Airport	CA
CYHR	Chevery Airport	CA
CYHT	Haines Junction Airport	CA
CYHU	Montréal / Saint-Hubert Airport	CA
CYHY	Hay River / Merlyn Carter Airport	CA
CYHZ	Halifax / Stanfield International Airport	CA
CYIB	Atikokan Municipal Airport	CA
CYID	Digby / Annapolis Regional Airport	CA
CYIF	St Augustin Airport	CA
CYIK	Ivujivik Airport	CA
CYIO	Pond Inlet Airport	CA
CYIV	Island Lake Airport	CA
CYJF	Fort Liard Airport	CA
CYJN	St Jean Airport	CA
CYJT	Stephenville Airport	CA
CYKA	Kamloops Airport	CA
CYKD	Aklavik/Freddie Carmichael Airport	CA
CYKF	Waterloo Airport	CA
CYKG	Kangiqsujuaq (Wakeham Bay) Airport	CA
CYKJ	Key Lake Airport	CA
CYKL	Schefferville Airport	CA
CYKO	Akulivik Airport	CA
CYKQ	Waskaganish Airport	CA
CYKX	Kirkland Lake Airport	CA
CYKY	Kindersley Airport	CA
CYKZ	Buttonville Municipal Airport	CA
CYLA	Aupaluk Airport	CA
CYLC	Kimmirut Airport	CA
CYLD	Chapleau Airport	CA
CYLH	Lansdowne House Airport	CA
CYLJ	Meadow Lake Airport	CA
CYLK	Lutselk'e Airport	CA
CYLL	Lloydminster Airport	CA
CYLR	Leaf Rapids Airport	CA
CYLT	Alert Airport	CA
CYLU	Kangiqsualujjuaq (Georges River) Airport	CA
CYLW	Kelowna International Airport	CA
CYMA	Mayo Airport	CA
CYME	Matane Airport	CA
CYMG	Manitouwadge Airport	CA
CYMH	Mary's Harbour Airport	CA
CYMJ	Moose Jaw Air Vice Marshal C. M. McEwen Airport	CA
CYML	Charlevoix Airport	CA
CYMM	Fort McMurray Airport	CA
CYMO	Moosonee Airport	CA
CYMT	Chapais Airport	CA
CYMU	Umiujaq Airport	CA
CYMX	Montreal International (Mirabel) Airport	CA
CYNA	Natashquan Airport	CA
CYNC	Wemindji Airport	CA
CYND	Ottawa / Gatineau Airport	CA
CYNE	Norway House Airport	CA
CYNL	Points North Landing Airport	CA
CYNM	Matagami Airport	CA
CYNN	Nejanilini Lake Airport	CA
CYOA	Ekati Airport	CA
CYOC	Old Crow Airport	CA
CYOD	CFB Cold Lake	CA
CYOH	Oxford House Airport	CA
CYOJ	High Level Airport	CA
CYOO	Oshawa Executive Airport	CA
CYOP	Rainbow Lake Airport	CA
CYOS	Owen Sound / Billy Bishop Regional Airport	CA
CYOW	Ottawa Macdonald-Cartier International Airport	CA
CYPA	Prince Albert Glass Field	CA
CYPC	Paulatuk (Nora Aliqatchialuk Ruben) Airport	CA
CYPD	Port Hawkesbury Airport	CA
CYPE	Peace River Airport	CA
CYPG	Portage-la-Prairie / Southport Airport	CA
CYPH	Inukjuak Airport	CA
CYPL	Pickle Lake Airport	CA
CYPM	Pikangikum Airport	CA
CYPN	Port Menier Airport	CA
CYPO	Peawanuck Airport	CA
CYPQ	Peterborough Municipal Airport	CA
CYPR	Prince Rupert Airport	CA
CYPW	Powell River Airport	CA
CYPX	Puvirnituq Airport	CA
CYPY	Fort Chipewyan Airport	CA
CYPZ	Burns Lake Airport	CA
CYQA	Muskoka Airport	CA
CYQB	Quebec Jean Lesage International Airport	CA
CYQD	The Pas Airport	CA
CYQF	Red Deer Regional Airport	CA
CYQG	Windsor Airport	CA
CYQH	Watson Lake Airport	CA
CYQI	Yarmouth Airport	CA
CYQK	Kenora Airport	CA
CYQL	Lethbridge County Airport	CA
CYQM	Greater Moncton Roméo LeBlanc International Airport	CA
CYQN	Nakina Airport	CA
CYQQ	Comox Valley Airport / CFB Comox	CA
CYQR	Regina International Airport	CA
CYQS	St Thomas Municipal Airport	CA
CYQT	Thunder Bay Airport	CA
CYQU	Grande Prairie Airport	CA
CYQV	Yorkton Municipal Airport	CA
CYQW	North Battleford Airport	CA
CYQX	Gander International Airport / CFB Gander	CA
CYQY	Sydney / J.A. Douglas McCurdy Airport	CA
CYQZ	Quesnel Airport	CA
CYRA	Rae Lakes Airport	CA
CYRB	Resolute Bay Airport	CA
CYRI	Rivière-du-Loup Airport	CA
CYRJ	Roberval Airport	CA
CYRL	Red Lake Airport	CA
CYRO	Ottawa / Rockcliffe Airport	CA
CYRP	Ottawa / Carp Airport	CA
CYRQ	Trois-Rivières Airport	CA
CYRS	Red Sucker Lake Airport	CA
CYRT	Rankin Inlet Airport	CA
CYRV	Revelstoke Airport	CA
CYSB	Sudbury Airport	CA
CYSC	Sherbrooke Airport	CA
CYSF	Stony Rapids Airport	CA
CYSG	Saint-Georges Airport	CA
CYSH	Smiths Falls-Montague (Russ Beach) Airport	CA
CYSJ	Saint John Airport	CA
CYSK	Sanikiluaq Airport	CA
CYSL	Saint-Léonard Airport	CA
CYSM	Fort Smith Airport	CA
CYSN	Niagara District Airport	CA
CYSP	Marathon Airport	CA
CYSQ	Atlin Airport	CA
CYST	St. Theresa Point Airport	CA
CYSU	Summerside Airport	CA
CYSY	Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport	CA
CYTA	Pembroke Airport	CA
CYTE	Cape Dorset Airport	CA
CYTF	Alma Airport	CA
CYTH	Thompson Airport	CA
CYTL	Big Trout Lake Airport	CA
CYTQ	Tasiujaq Airport	CA
CYTR	CFB Trenton	CA
CYTS	Timmins/Victor M. Power	CA
CYTZ	Billy Bishop Toronto City Centre Airport	CA
